Resolution,Resampling Technique,Predictor Type,Metric,Average Performance,SD Performance
25kb,RUS,Distance,MCC,0.316,0.039
25kb,RUS,Distance,F1,0.411,0.025
25kb,RUS,Distance,AUC,0.788,0.033
25kb,RUS,Distance,AUPRC,0.359,0.044
25kb,SMOTE,OC,Sensitivity,0.372,0.075
25kb,SMOTE,OC,Specificity,0.808,0.03
25kb,SMOTE,OC,Accuracy,0.745,0.019
25kb,SMOTE,OC,Precision,0.244,0.026
25kb,SMOTE,OC,MCC,0.152,0.041
25kb,SMOTE,OC,F1,0.292,0.037
25kb,SMOTE,OC,AUC,0.636,0.038
25kb,SMOTE,OC,AUPRC,0.227,0.024
25kb,SMOTE,OP,Sensitivity,0.432,0.084
25kb,SMOTE,OP,Specificity,0.774,0.034
25kb,SMOTE,OP,Accuracy,0.724,0.021
25kb,SMOTE,OP,Precision,0.241,0.024
25kb,SMOTE,OP,MCC,0.164,0.042
25kb,SMOTE,OP,F1,0.307,0.035
25kb,SMOTE,OP,AUC,0.639,0.037
25kb,SMOTE,OP,AUPRC,0.227,0.03
25kb,SMOTE,Distance,Sensitivity,0.707,0.069
25kb,SMOTE,Distance,Specificity,0.763,0.028
25kb,SMOTE,Distance,Accuracy,0.755,0.028
25kb,SMOTE,Distance,Precision,0.335,0.037
25kb,SMOTE,Distance,MCC,0.358,0.058
25kb,SMOTE,Distance,F1,0.453,0.041
25kb,SMOTE,Distance,AUC,0.813,0.035
25kb,SMOTE,Distance,AUPRC,0.396,0.047
50kb,None,OC,Sensitivity,0.018,0.031
50kb,None,OC,Specificity,0.994,0.008
50kb,None,OC,Accuracy,0.852,0.014
50kb,None,OC,Precision,0.289,0.266
50kb,None,OC,MCC,0.041,0.061
50kb,None,OC,F1,0.059,0.057
50kb,None,OC,AUC,0.613,0.036
50kb,None,OC,AUPRC,0.216,0.04
50kb,None,OP,Sensitivity,0.008,0.011
50kb,None,OP,Specificity,0.997,0.005
50kb,None,OP,Accuracy,0.853,0.013
50kb,None,OP,Precision,0.29,0.285
50kb,None,OP,MCC,0.032,0.043
50kb,None,OP,F1,0.036,0.015
50kb,None,OP,AUC,0.624,0.033
50kb,None,OP,AUPRC,0.223,0.035
50kb,None,Distance,Sensitivity,0.056,0.041
50kb,None,Distance,Specificity,0.993,0.004
50kb,None,Distance,Accuracy,0.857,0.015
50kb,None,Distance,Precision,0.56,0.206
50kb,None,Distance,MCC,0.143,0.079
50kb,None,Distance,F1,0.11,0.062
50kb,None,Distance,AUC,0.786,0.035
50kb,None,Distance,AUPRC,0.387,0.061
50kb,ROS,OC,Sensitivity,0.104,0.067
50kb,ROS,OC,Specificity,0.928,0.065
50kb,ROS,OC,Accuracy,0.808,0.048
50kb,ROS,OC,Precision,0.195,0.103
50kb,ROS,OC,MCC,0.044,0.069
50kb,ROS,OC,F1,0.141,0.064
50kb,ROS,OC,AUC,0.607,0.035
50kb,ROS,OC,AUPRC,0.195,0.04
50kb,ROS,OP,Sensitivity,0.072,0.05
50kb,ROS,OP,Specificity,0.943,0.053
50kb,ROS,OP,Accuracy,0.816,0.037
50kb,ROS,OP,Precision,0.205,0.2
50kb,ROS,OP,MCC,0.027,0.056
50kb,ROS,OP,F1,0.104,0.048
50kb,ROS,OP,AUC,0.6,0.035
50kb,ROS,OP,AUPRC,0.191,0.038
50kb,ROS,Distance,Sensitivity,0.163,0.072
50kb,ROS,Distance,Specificity,0.983,0.008
50kb,ROS,Distance,Accuracy,0.864,0.017
50kb,ROS,Distance,Precision,0.619,0.079
50kb,ROS,Distance,MCC,0.263,0.076
50kb,ROS,Distance,F1,0.251,0.09
50kb,ROS,Distance,AUC,0.821,0.034
50kb,ROS,Distance,AUPRC,0.444,0.062
50kb,RUS,OC,Sensitivity,0.546,0.06
50kb,RUS,OC,Specificity,0.616,0.068
50kb,RUS,OC,Accuracy,0.606,0.058
50kb,RUS,OC,Precision,0.197,0.034
50kb,RUS,OC,MCC,0.118,0.057
50kb,RUS,OC,F1,0.288,0.043
50kb,RUS,OC,AUC,0.615,0.038
50kb,RUS,OC,AUPRC,0.214,0.044
50kb,RUS,OP,Sensitivity,0.573,0.069
50kb,RUS,OP,Specificity,0.6,0.049
50kb,RUS,OP,Accuracy,0.596,0.04
50kb,RUS,OP,Precision,0.197,0.033
50kb,RUS,OP,MCC,0.125,0.051
50kb,RUS,OP,F1,0.292,0.042
50kb,RUS,OP,AUC,0.615,0.034
50kb,RUS,OP,AUPRC,0.219,0.042
50kb,RUS,Distance,Sensitivity,0.715,0.08
50kb,RUS,Distance,Specificity,0.64,0.033
50kb,RUS,Distance,Accuracy,0.651,0.03
50kb,RUS,Distance,Precision,0.253,0.038
50kb,RUS,Distance,MCC,0.255,0.062
50kb,RUS,Distance,F1,0.372,0.049
50kb,RUS,Distance,AUC,0.734,0.057
50kb,RUS,Distance,AUPRC,0.304,0.075
50kb,SMOTE,OC,Sensitivity,0.358,0.077
