Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Cell Line-Specific Annotation,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
Tblr1ab24550,0.538227784,0,100,2.617578417,0,100,0.590530497,0,100,0,7.888399106,100
Tbp,0,1.491714514,100,0,0.623348844,100,0.181976689,0,100,1.392152062,0,100
Tcf12,0,0.393494591,100,0,2.764426883,100,0,8.572498053,100,0,23.15880475,100
Tcf3,0,1.388393265,100,0,5.194676906,100,0,5.395716695,100,0,4.519095283,100
Tr4,0,1.267769027,100,0,0.012572869,100,0,8.018214735,100,0.654304148,0,100
Usf1,0,8.106773963,100,0,16.11458342,100,0,15.07692574,100,0,10.15796025,100
Usf2,1.496162562,0,100,0.666131642,0,100,6.302329992,0,100,5.038431927,0,100
Whip,0.23566965,0,100,5.606562391,0,100,0,6.440152089,100,1.004187731,0,100
Yy1,0,2.071172341,100,3.040399345,0,100,0,1.572728266,100,0,4.701499481,100
Yy1sc281,0,13.16862897,100,0,25.19564539,100,0,24.98561827,100,0,44.86752968,100
Zbtb33,0,5.33954959,100,0,9.671083618,100,0,14.98340127,100,0,5.000941298,100
Zeb1sc25388,0.035022112,0,100,0,1.107483526,100,0,4.986221747,100,0,6.014031132,100
Znf143166181ap,0,9.702320598,100,0,13.09525366,100,11.21400354,0,100,0,8.926120867,100
Zzz3,0,1.22777647,100,0.86028631,0,100,0,0.231075539,100,0,0.88865592,100
