Resolution,Resampling,Predictor,Metric,AvePerf,SDPerf
25kb,SMOTE,Distance,AUC,0.818,0.031
25kb,SMOTE,Distance,AUPRC,0.377,0.046
50kb,None,OC,Sensitivity,0.021,0.026
50kb,None,OC,Specificity,0.994,0.007
50kb,None,OC,Accuracy,0.865,0.014
50kb,None,OC,Precision,0.352,0.263
50kb,None,OC,MCC,0.061,0.059
50kb,None,OC,F1,0.06,0.041
50kb,None,OC,AUC,0.626,0.046
50kb,None,OC,AUPRC,0.21,0.046
50kb,None,OP,Sensitivity,0.008,0.011
50kb,None,OP,Specificity,0.999,0.002
50kb,None,OP,Accuracy,0.868,0.014
50kb,None,OP,Precision,0.392,0.386
50kb,None,OP,MCC,0.051,0.061
50kb,None,OP,F1,0.039,0.012
50kb,None,OP,AUC,0.639,0.047
50kb,None,OP,AUPRC,0.224,0.043
50kb,None,Distance,Sensitivity,0.07,0.054
50kb,None,Distance,Specificity,0.991,0.006
50kb,None,Distance,Accuracy,0.869,0.014
50kb,None,Distance,Precision,0.534,0.211
50kb,None,Distance,MCC,0.152,0.088
50kb,None,Distance,F1,0.12,0.08
50kb,None,Distance,AUC,0.8,0.043
50kb,None,Distance,AUPRC,0.391,0.07
50kb,ROS,OC,Sensitivity,0.093,0.065
50kb,ROS,OC,Specificity,0.95,0.031
50kb,ROS,OC,Accuracy,0.837,0.022
50kb,ROS,OC,Precision,0.213,0.092
50kb,ROS,OC,MCC,0.059,0.06
50kb,ROS,OC,F1,0.133,0.061
50kb,ROS,OC,AUC,0.626,0.044
50kb,ROS,OC,AUPRC,0.196,0.036
50kb,ROS,OP,Sensitivity,0.067,0.054
50kb,ROS,OP,Specificity,0.967,0.023
50kb,ROS,OP,Accuracy,0.848,0.017
50kb,ROS,OP,Precision,0.235,0.134
50kb,ROS,OP,MCC,0.059,0.063
50kb,ROS,OP,F1,0.107,0.061
50kb,ROS,OP,AUC,0.633,0.04
50kb,ROS,OP,AUPRC,0.2,0.039
50kb,ROS,Distance,Sensitivity,0.18,0.082
50kb,ROS,Distance,Specificity,0.981,0.01
50kb,ROS,Distance,Accuracy,0.875,0.014
50kb,ROS,Distance,Precision,0.582,0.133
50kb,ROS,Distance,MCC,0.27,0.094
50kb,ROS,Distance,F1,0.267,0.099
50kb,ROS,Distance,AUC,0.831,0.038
50kb,ROS,Distance,AUPRC,0.449,0.07
50kb,RUS,OC,Sensitivity,0.581,0.075
50kb,RUS,OC,Specificity,0.621,0.053
50kb,RUS,OC,Accuracy,0.615,0.041
50kb,RUS,OC,Precision,0.19,0.028
50kb,RUS,OC,MCC,0.139,0.046
50kb,RUS,OC,F1,0.285,0.035
50kb,RUS,OC,AUC,0.639,0.037
50kb,RUS,OC,AUPRC,0.217,0.032
50kb,RUS,OP,Sensitivity,0.581,0.128
50kb,RUS,OP,Specificity,0.612,0.075
50kb,RUS,OP,Accuracy,0.608,0.057
50kb,RUS,OP,Precision,0.184,0.037
50kb,RUS,OP,MCC,0.132,0.066
50kb,RUS,OP,F1,0.278,0.056
50kb,RUS,OP,AUC,0.634,0.058
50kb,RUS,OP,AUPRC,0.221,0.047
50kb,RUS,Distance,Sensitivity,0.703,0.105
50kb,RUS,Distance,Specificity,0.608,0.046
50kb,RUS,Distance,Accuracy,0.621,0.046
50kb,RUS,Distance,Precision,0.216,0.041
50kb,RUS,Distance,MCC,0.214,0.087
50kb,RUS,Distance,F1,0.33,0.057
50kb,RUS,Distance,AUC,0.721,0.07
50kb,RUS,Distance,AUPRC,0.288,0.07
50kb,SMOTE,OC,Sensitivity,0.375,0.078
50kb,SMOTE,OC,Specificity,0.805,0.045
50kb,SMOTE,OC,Accuracy,0.747,0.03
50kb,SMOTE,OC,Precision,0.228,0.044
50kb,SMOTE,OC,MCC,0.148,0.049
50kb,SMOTE,OC,F1,0.279,0.044
50kb,SMOTE,OC,AUC,0.638,0.045
50kb,SMOTE,OC,AUPRC,0.213,0.044
50kb,SMOTE,OP,Sensitivity,0.404,0.081
50kb,SMOTE,OP,Specificity,0.786,0.046
50kb,SMOTE,OP,Accuracy,0.735,0.032
50kb,SMOTE,OP,Precision,0.225,0.038
50kb,SMOTE,OP,MCC,0.151,0.046
50kb,SMOTE,OP,F1,0.284,0.035
50kb,SMOTE,OP,AUC,0.642,0.042
50kb,SMOTE,OP,AUPRC,0.223,0.037
50kb,SMOTE,Distance,Sensitivity,0.642,0.105
50kb,SMOTE,Distance,Specificity,0.749,0.034
50kb,SMOTE,Distance,Accuracy,0.735,0.03
50kb,SMOTE,Distance,Precision,0.28,0.036
50kb,SMOTE,Distance,MCC,0.288,0.068
50kb,SMOTE,Distance,F1,0.389,0.047
50kb,SMOTE,Distance,AUC,0.775,0.049
50kb,SMOTE,Distance,AUPRC,0.346,0.06
100kb,None,OC,Sensitivity,0.007,0.013
100kb,None,OC,Specificity,0.995,0.011
