"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"187","GM12878","100 kb","None","OC","F1",NA
"188","GM12878","100 kb","None","OC","AUC",0.598
"189","GM12878","100 kb","None","OC","Youden",0
"190","GM12878","100 kb","None","OC","AUPRC",0.183
"191","GM12878","100 kb","None","OP","TN",596
"192","GM12878","100 kb","None","OP","FN",88
"193","GM12878","100 kb","None","OP","FP",0
"194","GM12878","100 kb","None","OP","TP",0
"195","GM12878","100 kb","None","OP","Total",684
"196","GM12878","100 kb","None","OP","Sensitivity",0
"197","GM12878","100 kb","None","OP","Specificity",1
"198","GM12878","100 kb","None","OP","Kappa",0
"199","GM12878","100 kb","None","OP","Accuracy",0.871
"200","GM12878","100 kb","None","OP","Precision",NA
"201","GM12878","100 kb","None","OP","FPR",0
"202","GM12878","100 kb","None","OP","FNR",0.129
"203","GM12878","100 kb","None","OP","FOR",0.129
"204","GM12878","100 kb","None","OP","NPV",0.871
"205","GM12878","100 kb","None","OP","MCC",NA
"206","GM12878","100 kb","None","OP","F1",NA
"207","GM12878","100 kb","None","OP","AUC",0.577
"208","GM12878","100 kb","None","OP","Youden",0
"209","GM12878","100 kb","None","OP","AUPRC",0.174
"210","GM12878","100 kb","None","Distance","TN",595
"211","GM12878","100 kb","None","Distance","FN",88
"212","GM12878","100 kb","None","Distance","FP",1
"213","GM12878","100 kb","None","Distance","TP",0
"214","GM12878","100 kb","None","Distance","Total",684
"215","GM12878","100 kb","None","Distance","Sensitivity",0
"216","GM12878","100 kb","None","Distance","Specificity",0.998
"217","GM12878","100 kb","None","Distance","Kappa",-0.003
"218","GM12878","100 kb","None","Distance","Accuracy",0.87
"219","GM12878","100 kb","None","Distance","Precision",0
"220","GM12878","100 kb","None","Distance","FPR",0.002
"221","GM12878","100 kb","None","Distance","FNR",0.129
"222","GM12878","100 kb","None","Distance","FOR",0.129
"223","GM12878","100 kb","None","Distance","NPV",0.871
"224","GM12878","100 kb","None","Distance","MCC",-0.015
"225","GM12878","100 kb","None","Distance","F1",NA
"226","GM12878","100 kb","None","Distance","AUC",0.693
"227","GM12878","100 kb","None","Distance","Youden",-0.002
"228","GM12878","100 kb","None","Distance","AUPRC",0.25
"229","GM12878","10 kb","ROS","OC","TN",5453
"230","GM12878","10 kb","ROS","OC","FN",591
"231","GM12878","10 kb","ROS","OC","FP",564
"232","GM12878","10 kb","ROS","OC","TP",150
"233","GM12878","10 kb","ROS","OC","Total",6758
"234","GM12878","10 kb","ROS","OC","Sensitivity",0.202
"235","GM12878","10 kb","ROS","OC","Specificity",0.906
"236","GM12878","10 kb","ROS","OC","Kappa",0.11
"237","GM12878","10 kb","ROS","OC","Accuracy",0.829
"238","GM12878","10 kb","ROS","OC","Precision",0.21
"239","GM12878","10 kb","ROS","OC","FPR",0.094
"240","GM12878","10 kb","ROS","OC","FNR",0.098
"241","GM12878","10 kb","ROS","OC","FOR",0.098
"242","GM12878","10 kb","ROS","OC","NPV",0.902
"243","GM12878","10 kb","ROS","OC","MCC",0.11
"244","GM12878","10 kb","ROS","OC","F1",0.206
"245","GM12878","10 kb","ROS","OC","AUC",0.65
"246","GM12878","10 kb","ROS","OC","Youden",0.109
"247","GM12878","10 kb","ROS","OC","AUPRC",0.175
"248","GM12878","10 kb","ROS","OP","TN",5612
"249","GM12878","10 kb","ROS","OP","FN",636
"250","GM12878","10 kb","ROS","OP","FP",405
"251","GM12878","10 kb","ROS","OP","TP",105
"252","GM12878","10 kb","ROS","OP","Total",6758
"253","GM12878","10 kb","ROS","OP","Sensitivity",0.142
"254","GM12878","10 kb","ROS","OP","Specificity",0.933
"255","GM12878","10 kb","ROS","OP","Kappa",0.086
"256","GM12878","10 kb","ROS","OP","Accuracy",0.846
"257","GM12878","10 kb","ROS","OP","Precision",0.206
"258","GM12878","10 kb","ROS","OP","FPR",0.067
"259","GM12878","10 kb","ROS","OP","FNR",0.102
"260","GM12878","10 kb","ROS","OP","FOR",0.102
"261","GM12878","10 kb","ROS","OP","NPV",0.898
"262","GM12878","10 kb","ROS","OP","MCC",0.088
"263","GM12878","10 kb","ROS","OP","F1",0.168
"264","GM12878","10 kb","ROS","OP","AUC",0.651
"265","GM12878","10 kb","ROS","OP","Youden",0.074
"266","GM12878","10 kb","ROS","OP","AUPRC",0.177
"267","GM12878","10 kb","ROS","Distance","TN",5928
"268","GM12878","10 kb","ROS","Distance","FN",595
"269","GM12878","10 kb","ROS","Distance","FP",89
"270","GM12878","10 kb","ROS","Distance","TP",146
"271","GM12878","10 kb","ROS","Distance","Total",6758
"272","GM12878","10 kb","ROS","Distance","Sensitivity",0.197
"273","GM12878","10 kb","ROS","Distance","Specificity",0.985
"274","GM12878","10 kb","ROS","Distance","Kappa",0.26
"275","GM12878","10 kb","ROS","Distance","Accuracy",0.899
"276","GM12878","10 kb","ROS","Distance","Precision",0.621
"277","GM12878","10 kb","ROS","Distance","FPR",0.015
"278","GM12878","10 kb","ROS","Distance","FNR",0.091
"279","GM12878","10 kb","ROS","Distance","FOR",0.091
"280","GM12878","10 kb","ROS","Distance","NPV",0.909
"281","GM12878","10 kb","ROS","Distance","MCC",0.311
"282","GM12878","10 kb","ROS","Distance","F1",0.299
"283","GM12878","10 kb","ROS","Distance","AUC",0.879
"284","GM12878","10 kb","ROS","Distance","Youden",0.182
"285","GM12878","10 kb","ROS","Distance","AUPRC",0.478
"286","GM12878","25 kb","ROS","OC","TN",2163
"287","GM12878","25 kb","ROS","OC","FN",342
"288","GM12878","25 kb","ROS","OC","FP",155
"289","GM12878","25 kb","ROS","OC","TP",53
"290","GM12878","25 kb","ROS","OC","Total",2713
"291","GM12878","25 kb","ROS","OC","Sensitivity",0.134
"292","GM12878","25 kb","ROS","OC","Specificity",0.933
"293","GM12878","25 kb","ROS","OC","Kappa",0.084
"294","GM12878","25 kb","ROS","OC","Accuracy",0.817
"295","GM12878","25 kb","ROS","OC","Precision",0.255
"296","GM12878","25 kb","ROS","OC","FPR",0.067
"297","GM12878","25 kb","ROS","OC","FNR",0.137
"298","GM12878","25 kb","ROS","OC","FOR",0.137
"299","GM12878","25 kb","ROS","OC","NPV",0.863
"300","GM12878","25 kb","ROS","OC","MCC",0.089
"301","GM12878","25 kb","ROS","OC","F1",0.176
"302","GM12878","25 kb","ROS","OC","AUC",0.607
"303","GM12878","25 kb","ROS","OC","Youden",0.067
"304","GM12878","25 kb","ROS","OC","AUPRC",0.2
"305","GM12878","25 kb","ROS","OP","TN",2193
"306","GM12878","25 kb","ROS","OP","FN",358
"307","GM12878","25 kb","ROS","OP","FP",125
